"","keyword","date","geo","hits"
"1","covid",2021-01-01,"Alabama",37
"2","covid",2021-01-02,"Alabama",39
"3","covid",2021-01-03,"Alabama",45
"4","covid",2021-01-04,"Alabama",52
"5","covid",2021-01-05,"Alabama",59
"6","covid",2021-01-06,"Alabama",38
"7","covid",2021-01-07,"Alabama",46
"8","covid",2021-01-08,"Alabama",45
"9","covid",2021-01-09,"Alabama",42
"10","covid",2021-01-10,"Alabama",41
"11","covid",2021-01-11,"Alabama",44
"12","covid",2021-01-12,"Alabama",43
"13","covid",2021-01-13,"Alabama",47
"14","covid",2021-01-14,"Alabama",48
"15","covid",2021-01-15,"Alabama",43
"16","covid",2021-01-16,"Alabama",39
"17","covid",2021-01-17,"Alabama",34
"18","covid",2021-01-18,"Alabama",40
"19","covid",2021-01-19,"Alabama",47
"20","covid",2021-01-20,"Alabama",40
"21","covid",2021-01-21,"Alabama",57
"22","covid",2021-01-22,"Alabama",44
"23","covid",2021-01-23,"Alabama",51
"24","covid",2021-01-24,"Alabama",38
"25","covid",2021-01-25,"Alabama",43
"26","covid",2021-01-26,"Alabama",46
"27","covid",2021-01-27,"Alabama",45
"28","covid",2021-01-28,"Alabama",41
"29","covid",2021-01-29,"Alabama",43
"30","covid",2021-01-30,"Alabama",38
"31","covid",2021-01-31,"Alabama",31
"32","covid",2021-02-01,"Alabama",45
"33","covid",2021-02-02,"Alabama",52
"34","covid",2021-02-03,"Alabama",51
"35","covid",2021-02-04,"Alabama",53
"36","covid",2021-02-05,"Alabama",40
"37","covid",2021-02-06,"Alabama",27
"38","covid",2021-02-07,"Alabama",33
"39","covid",2021-02-08,"Alabama",45
"40","covid",2021-02-09,"Alabama",43
"41","covid",2021-02-10,"Alabama",44
"42","covid",2021-02-11,"Alabama",44
"43","covid",2021-02-12,"Alabama",43
"44","covid",2021-02-13,"Alabama",25
"45","covid",2021-02-14,"Alabama",31
"46","covid",2021-02-15,"Alabama",24
"47","covid",2021-02-16,"Alabama",24
"48","covid",2021-02-17,"Alabama",30
"49","covid",2021-02-18,"Alabama",34
"50","covid",2021-02-19,"Alabama",34
"51","covid",2021-02-20,"Alabama",21
"52","covid",2021-02-21,"Alabama",24
"53","covid",2021-02-22,"Alabama",30
"54","covid",2021-02-23,"Alabama",36
"55","covid",2021-02-24,"Alabama",35
"56","covid",2021-02-25,"Alabama",38
"57","covid",2021-02-26,"Alabama",31
"58","covid",2021-02-27,"Alabama",29
"59","covid",2021-02-28,"Alabama",25
"60","covid",2021-03-01,"Alabama",31
"61","covid",2021-03-02,"Alabama",31
"62","covid",2021-03-03,"Alabama",32
"63","covid",2021-03-04,"Alabama",36
"64","covid",2021-03-05,"Alabama",40
"65","covid",2021-03-06,"Alabama",26
"66","covid",2021-03-07,"Alabama",31
"67","covid",2021-03-08,"Alabama",40
"68","covid",2021-03-09,"Alabama",41
"69","covid",2021-03-10,"Alabama",36
"70","covid",2021-03-11,"Alabama",39
"71","covid",2021-03-12,"Alabama",37
"72","covid",2021-03-13,"Alabama",34
"73","covid",2021-03-14,"Alabama",28
"74","covid",2021-03-15,"Alabama",35
"75","covid",2021-03-16,"Alabama",36
"76","covid",2021-03-17,"Alabama",24
"77","covid",2021-03-18,"Alabama",32
"78","covid",2021-03-19,"Alabama",22
"79","covid",2021-03-20,"Alabama",29
"80","covid",2021-03-21,"Alabama",31
"81","covid",2021-03-22,"Alabama",42
"82","covid",2021-03-23,"Alabama",40
"83","covid",2021-03-24,"Alabama",35
"84","covid",2021-03-25,"Alabama",27
"85","covid",2021-03-26,"Alabama",26
"86","covid",2021-03-27,"Alabama",27
"87","covid",2021-03-28,"Alabama",21
"88","covid",2021-03-29,"Alabama",29
"89","covid",2021-03-30,"Alabama",35
"90","covid",2021-03-31,"Alabama",33
"91","covid",2021-04-01,"Alabama",30
"92","covid",2021-04-02,"Alabama",34
"93","covid",2021-04-03,"Alabama",20
"94","covid",2021-04-04,"Alabama",25
"95","covid",2021-04-05,"Alabama",31
"96","covid",2021-04-06,"Alabama",31
"97","covid",2021-04-07,"Alabama",34
"98","covid",2021-04-08,"Alabama",31
"99","covid",2021-04-09,"Alabama",22
"100","covid",2021-04-10,"Alabama",27
"101","covid",2021-04-11,"Alabama",20
"102","covid",2021-04-12,"Alabama",26
"103","covid",2021-04-13,"Alabama",24
"104","covid",2021-04-14,"Alabama",22
"105","covid",2021-04-15,"Alabama",24
"106","covid",2021-04-16,"Alabama",26
"107","covid",2021-04-17,"Alabama",14
"108","covid",2021-04-18,"Alabama",18
"109","covid",2021-04-19,"Alabama",28
"110","covid",2021-04-20,"Alabama",25
"111","covid",2021-04-21,"Alabama",25
"112","covid",2021-04-22,"Alabama",23
"113","covid",2021-04-23,"Alabama",23
"114","covid",2021-04-24,"Alabama",16
"115","covid",2021-04-25,"Alabama",17
"116","covid",2021-04-26,"Alabama",24
"117","covid",2021-04-27,"Alabama",20
"118","covid",2021-01-01,"Alaska",38
"119","covid",2021-01-02,"Alaska",43
"120","covid",2021-01-03,"Alaska",64
"121","covid",2021-01-04,"Alaska",76
"122","covid",2021-01-05,"Alaska",75
"123","covid",2021-01-06,"Alaska",89
"124","covid",2021-01-07,"Alaska",46
"125","covid",2021-01-08,"Alaska",100
"126","covid",2021-01-09,"Alaska",91
"127","covid",2021-01-10,"Alaska",45
"128","covid",2021-01-11,"Alaska",68
"129","covid",2021-01-12,"Alaska",60
"130","covid",2021-01-13,"Alaska",64
"131","covid",2021-01-14,"Alaska",94
"132","covid",2021-01-15,"Alaska",48
"133","covid",2021-01-16,"Alaska",38
"134","covid",2021-01-17,"Alaska",69
"135","covid",2021-01-18,"Alaska",69
"136","covid",2021-01-19,"Alaska",83
"137","covid",2021-01-20,"Alaska",56
"138","covid",2021-01-21,"Alaska",61
"139","covid",2021-01-22,"Alaska",45
"140","covid",2021-01-23,"Alaska",44
"141","covid",2021-01-24,"Alaska",54
"142","covid",2021-01-25,"Alaska",74
"143","covid",2021-01-26,"Alaska",52
"144","covid",2021-01-27,"Alaska",59
"145","covid",2021-01-28,"Alaska",53
"146","covid",2021-01-29,"Alaska",50
"147","covid",2021-01-30,"Alaska",62
"148","covid",2021-01-31,"Alaska",36
"149","covid",2021-02-01,"Alaska",69
"150","covid",2021-02-02,"Alaska",49
"151","covid",2021-02-03,"Alaska",53
"152","covid",2021-02-04,"Alaska",58
"153","covid",2021-02-05,"Alaska",59
"154","covid",2021-02-06,"Alaska",39
"155","covid",2021-02-07,"Alaska",35
