"","keyword","date","geo","hits"
"1","mask",2021-01-01,"Alabama",23
"2","mask",2021-01-02,"Alabama",15
"3","mask",2021-01-03,"Alabama",26
"4","mask",2021-01-04,"Alabama",18
"5","mask",2021-01-05,"Alabama",29
"6","mask",2021-01-06,"Alabama",23
"7","mask",2021-01-07,"Alabama",15
"8","mask",2021-01-08,"Alabama",24
"9","mask",2021-01-09,"Alabama",19
"10","mask",2021-01-10,"Alabama",24
"11","mask",2021-01-11,"Alabama",19
"12","mask",2021-01-12,"Alabama",23
"13","mask",2021-01-13,"Alabama",30
"14","mask",2021-01-14,"Alabama",31
"15","mask",2021-01-15,"Alabama",28
"16","mask",2021-01-16,"Alabama",31
"17","mask",2021-01-17,"Alabama",33
"18","mask",2021-01-18,"Alabama",30
"19","mask",2021-01-19,"Alabama",22
"20","mask",2021-01-20,"Alabama",22
"21","mask",2021-01-21,"Alabama",40
"22","mask",2021-01-22,"Alabama",17
"23","mask",2021-01-23,"Alabama",31
"24","mask",2021-01-24,"Alabama",34
"25","mask",2021-01-25,"Alabama",34
"26","mask",2021-01-26,"Alabama",25
"27","mask",2021-01-27,"Alabama",24
"28","mask",2021-01-28,"Alabama",21
"29","mask",2021-01-29,"Alabama",27
"30","mask",2021-01-30,"Alabama",34
"31","mask",2021-01-31,"Alabama",25
"32","mask",2021-02-01,"Alabama",23
"33","mask",2021-02-02,"Alabama",32
"34","mask",2021-02-03,"Alabama",21
"35","mask",2021-02-04,"Alabama",19
"36","mask",2021-02-05,"Alabama",26
"37","mask",2021-02-06,"Alabama",27
"38","mask",2021-02-07,"Alabama",28
"39","mask",2021-02-08,"Alabama",26
"40","mask",2021-02-09,"Alabama",24
"41","mask",2021-02-10,"Alabama",26
"42","mask",2021-02-11,"Alabama",21
"43","mask",2021-02-12,"Alabama",27
"44","mask",2021-02-13,"Alabama",20
"45","mask",2021-02-14,"Alabama",15
"46","mask",2021-02-15,"Alabama",19
"47","mask",2021-02-16,"Alabama",14
"48","mask",2021-02-17,"Alabama",26
"49","mask",2021-02-18,"Alabama",13
"50","mask",2021-02-19,"Alabama",18
"51","mask",2021-02-20,"Alabama",17
"52","mask",2021-02-21,"Alabama",9
"53","mask",2021-02-22,"Alabama",14
"54","mask",2021-02-23,"Alabama",19
"55","mask",2021-02-24,"Alabama",20
"56","mask",2021-02-25,"Alabama",18
"57","mask",2021-02-26,"Alabama",18
"58","mask",2021-02-27,"Alabama",24
"59","mask",2021-02-28,"Alabama",21
"60","mask",2021-03-01,"Alabama",30
"61","mask",2021-03-02,"Alabama",39
"62","mask",2021-03-03,"Alabama",70
"63","mask",2021-03-04,"Alabama",100
"64","mask",2021-03-05,"Alabama",41
"65","mask",2021-03-06,"Alabama",31
"66","mask",2021-03-07,"Alabama",23
"67","mask",2021-03-08,"Alabama",18
"68","mask",2021-03-09,"Alabama",21
"69","mask",2021-03-10,"Alabama",15
"70","mask",2021-03-11,"Alabama",20
"71","mask",2021-03-12,"Alabama",21
"72","mask",2021-03-13,"Alabama",15
"73","mask",2021-03-14,"Alabama",23
"74","mask",2021-03-15,"Alabama",16
"75","mask",2021-03-16,"Alabama",21
"76","mask",2021-03-17,"Alabama",20
"77","mask",2021-03-18,"Alabama",14
"78","mask",2021-03-19,"Alabama",15
"79","mask",2021-03-20,"Alabama",16
"80","mask",2021-03-21,"Alabama",11
"81","mask",2021-03-22,"Alabama",19
"82","mask",2021-03-23,"Alabama",21
"83","mask",2021-03-24,"Alabama",12
"84","mask",2021-03-25,"Alabama",19
"85","mask",2021-03-26,"Alabama",28
"86","mask",2021-03-27,"Alabama",12
"87","mask",2021-03-28,"Alabama",12
"88","mask",2021-03-29,"Alabama",22
"89","mask",2021-03-30,"Alabama",25
"90","mask",2021-03-31,"Alabama",21
"91","mask",2021-04-01,"Alabama",22
"92","mask",2021-04-02,"Alabama",17
"93","mask",2021-04-03,"Alabama",18
"94","mask",2021-04-04,"Alabama",15
"95","mask",2021-04-05,"Alabama",22
"96","mask",2021-04-06,"Alabama",34
"97","mask",2021-04-07,"Alabama",44
"98","mask",2021-04-08,"Alabama",31
"99","mask",2021-04-09,"Alabama",65
"100","mask",2021-04-10,"Alabama",44
"101","mask",2021-04-11,"Alabama",22
"102","mask",2021-04-12,"Alabama",24
"103","mask",2021-04-13,"Alabama",15
"104","mask",2021-04-14,"Alabama",15
