"","keyword","date","geo","hits"
"1","qanon",2021-01-01,"Alabama",0
"2","qanon",2021-01-02,"Alabama",0
"3","qanon",2021-01-03,"Alabama",0
"4","qanon",2021-01-04,"Alabama",0
"5","qanon",2021-01-05,"Alabama",0
"6","qanon",2021-01-06,"Alabama",9
"7","qanon",2021-01-07,"Alabama",100
"8","qanon",2021-01-08,"Alabama",73
"9","qanon",2021-01-09,"Alabama",89
"10","qanon",2021-01-10,"Alabama",30
"11","qanon",2021-01-11,"Alabama",35
"12","qanon",2021-01-12,"Alabama",44
"13","qanon",2021-01-13,"Alabama",0
"14","qanon",2021-01-14,"Alabama",19
"15","qanon",2021-01-15,"Alabama",47
"16","qanon",2021-01-16,"Alabama",30
"17","qanon",2021-01-17,"Alabama",41
"18","qanon",2021-01-18,"Alabama",19
"19","qanon",2021-01-19,"Alabama",9
"20","qanon",2021-01-20,"Alabama",27
"21","qanon",2021-01-21,"Alabama",54
"22","qanon",2021-01-22,"Alabama",46
"23","qanon",2021-01-23,"Alabama",0
"24","qanon",2021-01-24,"Alabama",0
"25","qanon",2021-01-25,"Alabama",9
"26","qanon",2021-01-26,"Alabama",18
"27","qanon",2021-01-27,"Alabama",9
"28","qanon",2021-01-28,"Alabama",9
"29","qanon",2021-01-29,"Alabama",57
"30","qanon",2021-01-30,"Alabama",10
"31","qanon",2021-01-31,"Alabama",41
"32","qanon",2021-02-01,"Alabama",0
"33","qanon",2021-02-02,"Alabama",9
"34","qanon",2021-02-03,"Alabama",0
"35","qanon",2021-02-04,"Alabama",47
"36","qanon",2021-02-05,"Alabama",57
"37","qanon",2021-02-06,"Alabama",30
"38","qanon",2021-02-07,"Alabama",31
"39","qanon",2021-02-08,"Alabama",9
"40","qanon",2021-02-09,"Alabama",10
"41","qanon",2021-02-10,"Alabama",0
"42","qanon",2021-02-11,"Alabama",0
"43","qanon",2021-02-12,"Alabama",0
"44","qanon",2021-02-13,"Alabama",21
"45","qanon",2021-02-14,"Alabama",10
"46","qanon",2021-02-15,"Alabama",0
"47","qanon",2021-02-16,"Alabama",18
"48","qanon",2021-02-17,"Alabama",9
"49","qanon",2021-02-18,"Alabama",18
"50","qanon",2021-02-19,"Alabama",0
"51","qanon",2021-02-20,"Alabama",0
"52","qanon",2021-02-21,"Alabama",0
"53","qanon",2021-02-22,"Alabama",36
"54","qanon",2021-02-23,"Alabama",0
"55","qanon",2021-02-24,"Alabama",19
"56","qanon",2021-02-25,"Alabama",10
"57","qanon",2021-02-26,"Alabama",28
"58","qanon",2021-02-27,"Alabama",21
"59","qanon",2021-02-28,"Alabama",0
"60","qanon",2021-03-01,"Alabama",27
"61","qanon",2021-03-02,"Alabama",0
"62","qanon",2021-03-03,"Alabama",28
"63","qanon",2021-03-04,"Alabama",19
"64","qanon",2021-03-05,"Alabama",10
"65","qanon",2021-03-06,"Alabama",43
"66","qanon",2021-03-07,"Alabama",0
"67","qanon",2021-03-08,"Alabama",0
"68","qanon",2021-03-09,"Alabama",0
"69","qanon",2021-03-10,"Alabama",0
"70","qanon",2021-03-11,"Alabama",10
"71","qanon",2021-03-12,"Alabama",9
"72","qanon",2021-03-13,"Alabama",0
"73","qanon",2021-03-14,"Alabama",0
"74","qanon",2021-03-15,"Alabama",7
"75","qanon",2021-03-16,"Alabama",0
"76","qanon",2021-03-17,"Alabama",8
"77","qanon",2021-03-18,"Alabama",18
"78","qanon",2021-03-19,"Alabama",0
"79","qanon",2021-03-20,"Alabama",0
"80","qanon",2021-03-21,"Alabama",0
"81","qanon",2021-03-22,"Alabama",0
"82","qanon",2021-03-23,"Alabama",0
"83","qanon",2021-03-24,"Alabama",0
"84","qanon",2021-03-25,"Alabama",9
"85","qanon",2021-03-26,"Alabama",0
"86","qanon",2021-03-27,"Alabama",21
"87","qanon",2021-03-28,"Alabama",0
"88","qanon",2021-03-29,"Alabama",0
"89","qanon",2021-03-30,"Alabama",0
"90","qanon",2021-03-31,"Alabama",0
"91","qanon",2021-04-01,"Alabama",0
"92","qanon",2021-04-02,"Alabama",0
"93","qanon",2021-04-03,"Alabama",0
"94","qanon",2021-04-04,"Alabama",0
"95","qanon",2021-04-05,"Alabama",0
"96","qanon",2021-04-06,"Alabama",9
"97","qanon",2021-04-07,"Alabama",9
"98","qanon",2021-04-08,"Alabama",0
"99","qanon",2021-04-09,"Alabama",0
"100","qanon",2021-04-10,"Alabama",10
"101","qanon",2021-04-11,"Alabama",0
"102","qanon",2021-04-12,"Alabama",0
"103","qanon",2021-04-13,"Alabama",9
"104","qanon",2021-04-14,"Alabama",9
"105","qanon",2021-04-15,"Alabama",9
"106","qanon",2021-04-16,"Alabama",10
"107","qanon",2021-04-17,"Alabama",11
"108","qanon",2021-04-18,"Alabama",0
"109","qanon",2021-04-19,"Alabama",0
"110","qanon",2021-04-20,"Alabama",0
"111","qanon",2021-04-21,"Alabama",0
"112","qanon",2021-04-22,"Alabama",0
"113","qanon",2021-04-23,"Alabama",0
"114","qanon",2021-04-24,"Alabama",21
"115","qanon",2021-04-25,"Alabama",0
"116","qanon",2021-04-26,"Alabama",0
"117","qanon",2021-04-27,"Alabama",0
"118","qanon",2021-04-28,"Alabama",0
"119","qanon",2021-04-29,"Alabama",0
"120","qanon",2021-04-30,"Alabama",0
"121","qanon",2021-05-01,"Alabama",0
"122","qanon",2021-05-02,"Alabama",0
"123","qanon",2021-05-03,"Alabama",0
"124","qanon",2021-05-04,"Alabama",0
"125","qanon",2021-05-05,"Alabama",0
"126","qanon",2021-05-06,"Alabama",0
"127","qanon",2021-05-07,"Alabama",0
"128","qanon",2021-05-08,"Alabama",0
"129","qanon",2021-05-09,"Alabama",0
"130","qanon",2021-05-10,"Alabama",0
"131","qanon",2021-05-11,"Alabama",0
"132","qanon",2021-01-01,"Alaska",0
"133","qanon",2021-01-02,"Alaska",27
"134","qanon",2021-01-03,"Alaska",0
"135","qanon",2021-01-04,"Alaska",0
"136","qanon",2021-01-05,"Alaska",0
"137","qanon",2021-01-06,"Alaska",0
"138","qanon",2021-01-07,"Alaska",25
"139","qanon",2021-01-08,"Alaska",100
"140","qanon",2021-01-09,"Alaska",27
"141","qanon",2021-01-10,"Alaska",0
"142","qanon",2021-01-11,"Alaska",0
"143","qanon",2021-01-12,"Alaska",51
"144","qanon",2021-01-13,"Alaska",80
"145","qanon",2021-01-14,"Alaska",0
"146","qanon",2021-01-15,"Alaska",0
"147","qanon",2021-01-16,"Alaska",0
"148","qanon",2021-01-17,"Alaska",0
"149","qanon",2021-01-18,"Alaska",0
"150","qanon",2021-01-19,"Alaska",26
"151","qanon",2021-01-20,"Alaska",26
"152","qanon",2021-01-21,"Alaska",0
"153","qanon",2021-01-22,"Alaska",0
"154","qanon",2021-01-23,"Alaska",0
"155","qanon",2021-01-24,"Alaska",0
"156","qanon",2021-01-25,"Alaska",0
"157","qanon",2021-01-26,"Alaska",25
"158","qanon",2021-01-27,"Alaska",0
"159","qanon",2021-01-28,"Alaska",26
"160","qanon",2021-01-29,"Alaska",0
"161","qanon",2021-01-30,"Alaska",0
"162","qanon",2021-01-31,"Alaska",0
"163","qanon",2021-02-01,"Alaska",0
"164","qanon",2021-02-02,"Alaska",0
"165","qanon",2021-02-03,"Alaska",0
"166","qanon",2021-02-04,"Alaska",0
"167","qanon",2021-02-05,"Alaska",0
"168","qanon",2021-02-06,"Alaska",55
"169","qanon",2021-02-07,"Alaska",0
"170","qanon",2021-02-08,"Alaska",0
"171","qanon",2021-02-09,"Alaska",0
"172","qanon",2021-02-10,"Alaska",0
"173","qanon",2021-02-11,"Alaska",26
"174","qanon",2021-02-12,"Alaska",27
"175","qanon",2021-02-13,"Alaska",0
"176","qanon",2021-02-14,"Alaska",0
"177","qanon",2021-02-15,"Alaska",0
"178","qanon",2021-02-16,"Alaska",0
"179","qanon",2021-02-17,"Alaska",0
"180","qanon",2021-02-18,"Alaska",0
"181","qanon",2021-02-19,"Alaska",0
"182","qanon",2021-02-20,"Alaska",0
"183","qanon",2021-02-21,"Alaska",29
"184","qanon",2021-02-22,"Alaska",26
"185","qanon",2021-02-23,"Alaska",0
"186","qanon",2021-02-24,"Alaska",0
"187","qanon",2021-02-25,"Alaska",0
"188","qanon",2021-02-26,"Alaska",0
"189","qanon",2021-02-27,"Alaska",0
"190","qanon",2021-02-28,"Alaska",0
"191","qanon",2021-03-01,"Alaska",25
"192","qanon",2021-03-02,"Alaska",0
"193","qanon",2021-03-03,"Alaska",0
"194","qanon",2021-03-04,"Alaska",0
"195","qanon",2021-03-05,"Alaska",0
"196","qanon",2021-03-06,"Alaska",0
"197","qanon",2021-03-07,"Alaska",0
"198","qanon",2021-03-08,"Alaska",0
"199","qanon",2021-03-09,"Alaska",0
"200","qanon",2021-03-10,"Alaska",0
"201","qanon",2021-03-11,"Alaska",0
"202","qanon",2021-03-12,"Alaska",0
"203","qanon",2021-03-13,"Alaska",0
"204","qanon",2021-03-14,"Alaska",0
"205","qanon",2021-03-15,"Alaska",0
"206","qanon",2021-03-16,"Alaska",23
"207","qanon",2021-03-17,"Alaska",0
"208","qanon",2021-03-18,"Alaska",0
"209","qanon",2021-03-19,"Alaska",0
