"","keyword","date","geo","hits"
"1","social distancing",2021-01-01,"Alabama",0
"2","social distancing",2021-01-02,"Alabama",0
"3","social distancing",2021-01-03,"Alabama",0
"4","social distancing",2021-01-04,"Alabama",0
"5","social distancing",2021-01-05,"Alabama",0
"6","social distancing",2021-01-06,"Alabama",0
"7","social distancing",2021-01-07,"Alabama",0
"8","social distancing",2021-01-08,"Alabama",0
"9","social distancing",2021-01-09,"Alabama",0
"10","social distancing",2021-01-10,"Alabama",0
"11","social distancing",2021-01-11,"Alabama",0
"12","social distancing",2021-01-12,"Alabama",0
"13","social distancing",2021-01-13,"Alabama",0
"14","social distancing",2021-01-14,"Alabama",0
"15","social distancing",2021-01-15,"Alabama",11
"16","social distancing",2021-01-16,"Alabama",0
"17","social distancing",2021-01-17,"Alabama",0
"18","social distancing",2021-01-18,"Alabama",0
"19","social distancing",2021-01-19,"Alabama",0
"20","social distancing",2021-01-20,"Alabama",0
"21","social distancing",2021-01-21,"Alabama",10
"22","social distancing",2021-01-22,"Alabama",0
"23","social distancing",2021-01-23,"Alabama",0
"24","social distancing",2021-01-24,"Alabama",0
"25","social distancing",2021-01-25,"Alabama",0
"26","social distancing",2021-01-26,"Alabama",10
"27","social distancing",2021-01-27,"Alabama",0
"28","social distancing",2021-01-28,"Alabama",10
"29","social distancing",2021-01-29,"Alabama",0
"30","social distancing",2021-01-30,"Alabama",0
"31","social distancing",2021-01-31,"Alabama",11
"32","social distancing",2021-02-01,"Alabama",0
"33","social distancing",2021-02-02,"Alabama",0
"34","social distancing",2021-02-03,"Alabama",0
"35","social distancing",2021-02-04,"Alabama",0
"36","social distancing",2021-02-05,"Alabama",0
"37","social distancing",2021-02-06,"Alabama",0
"38","social distancing",2021-02-07,"Alabama",0
"39","social distancing",2021-02-08,"Alabama",0
"40","social distancing",2021-02-09,"Alabama",0
"41","social distancing",2021-02-10,"Alabama",0
"42","social distancing",2021-02-11,"Alabama",0
"43","social distancing",2021-02-12,"Alabama",0
"44","social distancing",2021-02-13,"Alabama",0
"45","social distancing",2021-02-14,"Alabama",0
"46","social distancing",2021-02-15,"Alabama",0
"47","social distancing",2021-02-16,"Alabama",0
"48","social distancing",2021-02-17,"Alabama",0
"49","social distancing",2021-02-18,"Alabama",0
"50","social distancing",2021-02-19,"Alabama",0
"51","social distancing",2021-02-20,"Alabama",0
"52","social distancing",2021-02-21,"Alabama",0
"53","social distancing",2021-02-22,"Alabama",0
"54","social distancing",2021-02-23,"Alabama",0
"55","social distancing",2021-02-24,"Alabama",0
"56","social distancing",2021-02-25,"Alabama",0
"57","social distancing",2021-02-26,"Alabama",0
"58","social distancing",2021-02-27,"Alabama",0
"59","social distancing",2021-02-28,"Alabama",0
"60","social distancing",2021-03-01,"Alabama",10
"61","social distancing",2021-03-02,"Alabama",0
"62","social distancing",2021-03-03,"Alabama",0
"63","social distancing",2021-03-04,"Alabama",0
"64","social distancing",2021-03-05,"Alabama",0
"65","social distancing",2021-03-06,"Alabama",12
"66","social distancing",2021-03-07,"Alabama",0
"67","social distancing",2021-03-08,"Alabama",0
"68","social distancing",2021-03-09,"Alabama",0
"69","social distancing",2021-03-10,"Alabama",10
"70","social distancing",2021-03-11,"Alabama",0
"71","social distancing",2021-03-12,"Alabama",0
"72","social distancing",2021-03-13,"Alabama",0
"73","social distancing",2021-03-14,"Alabama",0
"74","social distancing",2021-03-15,"Alabama",0
"75","social distancing",2021-03-16,"Alabama",0
"76","social distancing",2021-03-17,"Alabama",0
"77","social distancing",2021-03-18,"Alabama",10
"78","social distancing",2021-03-19,"Alabama",0
"79","social distancing",2021-03-20,"Alabama",0
"80","social distancing",2021-03-21,"Alabama",12
"81","social distancing",2021-03-22,"Alabama",0
"82","social distancing",2021-03-23,"Alabama",0
"83","social distancing",2021-03-24,"Alabama",0
"84","social distancing",2021-03-25,"Alabama",10
"85","social distancing",2021-03-26,"Alabama",0
"86","social distancing",2021-03-27,"Alabama",0
"87","social distancing",2021-03-28,"Alabama",0
"88","social distancing",2021-03-29,"Alabama",0
"89","social distancing",2021-03-30,"Alabama",0
"90","social distancing",2021-03-31,"Alabama",0
"91","social distancing",2021-04-01,"Alabama",11
"92","social distancing",2021-04-02,"Alabama",0
"93","social distancing",2021-04-03,"Alabama",0
"94","social distancing",2021-04-04,"Alabama",0
"95","social distancing",2021-04-05,"Alabama",0
"96","social distancing",2021-04-06,"Alabama",10
"97","social distancing",2021-04-07,"Alabama",0
"98","social distancing",2021-04-08,"Alabama",0
"99","social distancing",2021-04-09,"Alabama",0
"100","social distancing",2021-04-10,"Alabama",11
"101","social distancing",2021-04-11,"Alabama",0
"102","social distancing",2021-04-12,"Alabama",0
"103","social distancing",2021-04-13,"Alabama",0
"104","social distancing",2021-04-14,"Alabama",0
"105","social distancing",2021-04-15,"Alabama",0
