"","keyword","date","geo","hits"
"1","vaccine",2021-01-01,"Alabama",13
"2","vaccine",2021-01-02,"Alabama",14
"3","vaccine",2021-01-03,"Alabama",16
"4","vaccine",2021-01-04,"Alabama",23
"5","vaccine",2021-01-05,"Alabama",32
"6","vaccine",2021-01-06,"Alabama",27
"7","vaccine",2021-01-07,"Alabama",28
"8","vaccine",2021-01-08,"Alabama",33
"9","vaccine",2021-01-09,"Alabama",28
"10","vaccine",2021-01-10,"Alabama",24
"11","vaccine",2021-01-11,"Alabama",29
"12","vaccine",2021-01-12,"Alabama",42
"13","vaccine",2021-01-13,"Alabama",39
"14","vaccine",2021-01-14,"Alabama",45
"15","vaccine",2021-01-15,"Alabama",47
"16","vaccine",2021-01-16,"Alabama",39
"17","vaccine",2021-01-17,"Alabama",29
"18","vaccine",2021-01-18,"Alabama",34
"19","vaccine",2021-01-19,"Alabama",40
"20","vaccine",2021-01-20,"Alabama",34
"21","vaccine",2021-01-21,"Alabama",35
"22","vaccine",2021-01-22,"Alabama",31
"23","vaccine",2021-01-23,"Alabama",36
"24","vaccine",2021-01-24,"Alabama",25
"25","vaccine",2021-01-25,"Alabama",32
"26","vaccine",2021-01-26,"Alabama",36
"27","vaccine",2021-01-27,"Alabama",49
"28","vaccine",2021-01-28,"Alabama",48
"29","vaccine",2021-01-29,"Alabama",55
"30","vaccine",2021-01-30,"Alabama",40
"31","vaccine",2021-01-31,"Alabama",32
"32","vaccine",2021-02-01,"Alabama",48
"33","vaccine",2021-02-02,"Alabama",58
"34","vaccine",2021-02-03,"Alabama",61
"35","vaccine",2021-02-04,"Alabama",50
"36","vaccine",2021-02-05,"Alabama",38
"37","vaccine",2021-02-06,"Alabama",31
"38","vaccine",2021-02-07,"Alabama",29
"39","vaccine",2021-02-08,"Alabama",53
"40","vaccine",2021-02-09,"Alabama",59
"41","vaccine",2021-02-10,"Alabama",63
"42","vaccine",2021-02-11,"Alabama",60
"43","vaccine",2021-02-12,"Alabama",61
"44","vaccine",2021-02-13,"Alabama",37
"45","vaccine",2021-02-14,"Alabama",25
"46","vaccine",2021-02-15,"Alabama",34
"47","vaccine",2021-02-16,"Alabama",41
"48","vaccine",2021-02-17,"Alabama",40
"49","vaccine",2021-02-18,"Alabama",42
"50","vaccine",2021-02-19,"Alabama",53
"51","vaccine",2021-02-20,"Alabama",33
"52","vaccine",2021-02-21,"Alabama",25
"53","vaccine",2021-02-22,"Alabama",40
"54","vaccine",2021-02-23,"Alabama",37
"55","vaccine",2021-02-24,"Alabama",46
"56","vaccine",2021-02-25,"Alabama",51
"57","vaccine",2021-02-26,"Alabama",38
"58","vaccine",2021-02-27,"Alabama",37
"59","vaccine",2021-02-28,"Alabama",37
"60","vaccine",2021-03-01,"Alabama",50
"61","vaccine",2021-03-02,"Alabama",59
"62","vaccine",2021-03-03,"Alabama",55
"63","vaccine",2021-03-04,"Alabama",61
"64","vaccine",2021-03-05,"Alabama",69
"65","vaccine",2021-03-06,"Alabama",47
"66","vaccine",2021-03-07,"Alabama",56
"67","vaccine",2021-03-08,"Alabama",66
"68","vaccine",2021-03-09,"Alabama",70
"69","vaccine",2021-03-10,"Alabama",76
"70","vaccine",2021-03-11,"Alabama",69
"71","vaccine",2021-03-12,"Alabama",75
"72","vaccine",2021-03-13,"Alabama",53
"73","vaccine",2021-03-14,"Alabama",45
