"","keyword","date","geo","hits"
"1","vaccine near me",2021-01-01,"Alabama",0
"2","vaccine near me",2021-01-02,"Alabama",4
"3","vaccine near me",2021-01-03,"Alabama",0
"4","vaccine near me",2021-01-04,"Alabama",8
"5","vaccine near me",2021-01-05,"Alabama",12
"6","vaccine near me",2021-01-06,"Alabama",8
"7","vaccine near me",2021-01-07,"Alabama",4
"8","vaccine near me",2021-01-08,"Alabama",4
"9","vaccine near me",2021-01-09,"Alabama",13
"10","vaccine near me",2021-01-10,"Alabama",0
"11","vaccine near me",2021-01-11,"Alabama",4
"12","vaccine near me",2021-01-12,"Alabama",8
"13","vaccine near me",2021-01-13,"Alabama",8
"14","vaccine near me",2021-01-14,"Alabama",13
"15","vaccine near me",2021-01-15,"Alabama",12
"16","vaccine near me",2021-01-16,"Alabama",9
"17","vaccine near me",2021-01-17,"Alabama",0
"18","vaccine near me",2021-01-18,"Alabama",12
"19","vaccine near me",2021-01-19,"Alabama",4
"20","vaccine near me",2021-01-20,"Alabama",8
"21","vaccine near me",2021-01-21,"Alabama",12
"22","vaccine near me",2021-01-22,"Alabama",12
"23","vaccine near me",2021-01-23,"Alabama",14
"24","vaccine near me",2021-01-24,"Alabama",0
"25","vaccine near me",2021-01-25,"Alabama",12
"26","vaccine near me",2021-01-26,"Alabama",4
"27","vaccine near me",2021-01-27,"Alabama",16
"28","vaccine near me",2021-01-28,"Alabama",12
"29","vaccine near me",2021-01-29,"Alabama",12
"30","vaccine near me",2021-01-30,"Alabama",14
"31","vaccine near me",2021-01-31,"Alabama",0
"32","vaccine near me",2021-02-01,"Alabama",4
"33","vaccine near me",2021-02-02,"Alabama",0
"34","vaccine near me",2021-02-03,"Alabama",16
"35","vaccine near me",2021-02-04,"Alabama",12
"36","vaccine near me",2021-02-05,"Alabama",12
"37","vaccine near me",2021-02-06,"Alabama",9
"38","vaccine near me",2021-02-07,"Alabama",4
"39","vaccine near me",2021-02-08,"Alabama",16
"40","vaccine near me",2021-02-09,"Alabama",8
"41","vaccine near me",2021-02-10,"Alabama",29
"42","vaccine near me",2021-02-11,"Alabama",20
"43","vaccine near me",2021-02-12,"Alabama",17
"44","vaccine near me",2021-02-13,"Alabama",13
"45","vaccine near me",2021-02-14,"Alabama",5
"46","vaccine near me",2021-02-15,"Alabama",4
"47","vaccine near me",2021-02-16,"Alabama",0
"48","vaccine near me",2021-02-17,"Alabama",12
"49","vaccine near me",2021-02-18,"Alabama",4
"50","vaccine near me",2021-02-19,"Alabama",4
"51","vaccine near me",2021-02-20,"Alabama",5
"52","vaccine near me",2021-02-21,"Alabama",0
"53","vaccine near me",2021-02-22,"Alabama",20
"54","vaccine near me",2021-02-23,"Alabama",17
"55","vaccine near me",2021-02-24,"Alabama",4
"56","vaccine near me",2021-02-25,"Alabama",21
"57","vaccine near me",2021-02-26,"Alabama",25
"58","vaccine near me",2021-02-27,"Alabama",14
"59","vaccine near me",2021-02-28,"Alabama",14
"60","vaccine near me",2021-03-01,"Alabama",28
"61","vaccine near me",2021-03-02,"Alabama",4
"62","vaccine near me",2021-03-03,"Alabama",12
"63","vaccine near me",2021-03-04,"Alabama",13
"64","vaccine near me",2021-03-05,"Alabama",17
"65","vaccine near me",2021-03-06,"Alabama",19
"66","vaccine near me",2021-03-07,"Alabama",5
