"","Date","State","covid","mask","qanon","social distancing","vaccine","vaccine near me","cases","deaths","total_vaccinations","total_distributed","people_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_per_hundred","people_fully_vaccinated","people_vaccinated_per_hundred","distributed_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","share_doses_used"
"1",2021-01-01,"Alabama",37,23,4,0,11,0,365747,4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-01-01,"Alaska",38,13,0,0,33,0,47019,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-01-01,"Arizona",59,18,3,0,17,6,530267,9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2021-01-01,"Arkansas",47,17,0,0,17,0,229442,3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-01-01,"California",63,22,2,1,16,2,2365024,26504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2021-01-01,"Colorado",34,26,0,0,8,0,337161,4873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-01-01,"Connecticut",38,35,0,0,7,0,185708,5995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021-01-01,"Delaware",24,18,0,0,5,0,58064,1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2021-01-01,"Florida",30,34,3,8,9,17,1323315,21673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2021-01-01,"Georgia",27,32,0,14,6,8,677589,10958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2021-01-01,"Hawaii",55,44,0,0,4,0,22397,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2021-01-01,"Idaho",44,35,12,0,1,0,141077,1436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2021-01-01,"Illinois",40,25,3,0,13,0,963389,17978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2021-01-01,"Indiana",45,19,0,0,14,4,517773,9468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2021-01-01,"Iowa",32,28,0,0,8,0,282980,3898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
